ID,First Name,Last Name,Email,Phone,Address,Zip Code,Gender,Date of Birth,Product,Quantity,Cost
1,John,Smith,john.smith@email.com,123-456-7890,123 Main St,10001,Male,1980-05-15,Aspirin,2,5.0
2,Emily,Johnson,emily.j@email.com,456-789-1230,456 Elm St,10002,Female,1990-03-22,Ibuprofen,3,7.0
3,David,Smith,david.smith@email.com,123-456-7890,123 Main St,10001,Male,1980-05-15,Paracetamol,1,3.0
4,Sarah,Williams,sarah.w@email.com,789-123-4560,789 Oak St,10003,Female,1985-11-10,Amoxicillin,1,8.0
5,Michael,Davis,michael.d@email.com,234-567-8901,234 Maple St,10004,Male,1995-07-03,Lipitor,2,15.0
16,Ethan,Johnson,ethan.j@email.com,234-567-8901,234 Maple St,10004,Male,1981-09-04,Lansoprazole,1,7.0
17,Amelia,Davis,amelia.d@email.com,234-567-8901,234 Maple St,10004,Female,1993-03-27,Ranitidine,2,5.0
18,Mia,Smith,mia.sm@email.com,123-456-7890,123 Main St,10001,Female,1989-07-14,Warfarin,3,6.0
10,Emma,Jones,emma.j@email.com,678-901-2345,678 Pine St,10007,Female,1982-06-08,Ciprofloxacin,3,6.0
11,Robert,Williams,robert.w@email.com,789-123-4560,789 Oak St,10003,Male,1985-11-10,Metformin,1,5.0
12,Sophia,Brown,sophia.b@email.com,567-890-1234,567 Cedar St,10006,Female,1986-02-20,Amlodipine,2,10.0
13,John,Smith,john.smith@email.com,123-456-7890,123 Main St,10001,Male,1980-05-15,Omeprazole,1,4.0
14,Oliver,Miller,oliver.m@email.com,345-678-9012,345 Birch St,10005,Male,1999-10-05,Atorvastatin,2,8.0
15,Isabella,Jones,isabella.j@email.com,678-901-2345,678 Pine St,10007,Female,1994-01-19,Levothyroxine,3,9.0
19,Matthew,Williams,matthew.w@email.com,789-123-4560,789 Oak St,10003,Male,1986-12-01,Gabapentin,1,8.0
20,Grace,Smith,grace.s@email.com,123-456-7890,123 Main St,10001,Female,1991-04-08,Duloxetine,2,9.0
21,Michael,Davis,michael.d@email.com,234-567-8901,234 Maple St,10004,Male,1995-07-03,Pantoprazole,4,4.0
22,Emily,Johnson,emily.j@email.com,456-789-1230,456 Elm St,10002,Female,1990-03-22,Sertraline,6,7.0
23,David,Smith,david.smith@email.com,123-456-7890,123 Main St,10001,Male,1980-05-15,Metoprolol,1,8.0
24,Liam,Johnson,liam.j@email.com,234-567-8901,234 Maple St,10004,Male,1984-02-28,Fluoxetine,2,5.0
25,Sophia,Brown,sophia.b.email.com,567-890-1234,567 Cedar St,10006,Female,1986-02-20,Losartan,3,10.0
26,James,Brown,james.b@email.com,567-890-1234,567 Cedar St,10006,Male,1978-04-30,Omeprazole,1,4.0
27,Olivia,Smith,olivia.sm@email.com,123-456-7890,123 Main St,10001,Female,1992-12-17,Amlodipine,2,8.0
28,William,Johnson,william.j@email.com,234-567-8901,234 Maple St,10004,Male,1983-08-12,Levothyroxine,3,9.0
29,Isabella,Jones,isabella.j@email.com,678-901-2345,678 Pine St,10007,Female,1994-01-19,Lisinopril,1,7.0
30,Oliver,Miller,oliver.m@email.com,345-678-9012,345 Birch St,10005,Male,1999-10-05,Ciprofloxacin,2,6.0
31,Ella,Smith,ella.s@email.com,123-456-7890,123 Main St,10001,Female,1997-11-08,Paracetamol,1,3.0
32,Ethan,Johnson,ethan.j@email.com,234-567-8901,234 Maple St,10004,Male,1981-09-04,Lipitor,2,15.0
9,William,Johnson,william.j@email.com,234-567-8901,234 Maple St,10004,Male,1983-08-12,Lisinopril,2,8.0
34,Matthew,Williams,matthew.w@email.com,789-123-4560,789 Oak St,10003,Male,1986-12-01,Ibuprofen,4,7.0
35,Mia,Smith,mia.sm@email.com,123-456-7890,123 Main St,10001,Female,1989-07-14,Hydrochlorothiazide,5,10.0
36,Liam,Johnson,liam.j@email.com,234-567-8901,234 Maple St,10004,Male,1984-02-28,Simvastatin,6,9.0
37,Amelia,Davis,amelia.d@email.com,234-567-8901,234 Maple St,10004,Female,1993-03-27,Ciprofloxacin,1,6.0
17,Amelia,Davis,amelia.d@email.com,234-567-8901,234 Maple St,10004,Female,1993-03-27,Ranitidine,2,
40,John,Smith,john.smith@email.com,123-456-7890,123 Main St,10001,Male,1980-05-15,Losartan,1,10.0
41,Michael,Davis,michael.d@email.com,234-567-8901,234 Maple St,10004,Male,1995-07-03,Duloxetine,2,9.0
42,Laura,Miller,laura.m@email.com,345-678-9012,345 Birch St,10005,Female,1987-09-25,Pantoprazole,3,4.0
43,James,Brown,james.b@email.com,567-890-1234,567 Cedar St,10006,Male,1978-04-30,Amoxicillin,4,8.0
44,Olivia,Smith,olivia.sm@email.com,123-456-7890,123 Main St,10001,Female,1992-12-17,Ibuprofen,5,7.0
45,William,Johnson,william.j@email.com,234-567-8901,234 Maple St,10004,Male,1983-08-12,Aspirin,6,5.0
46,Emma,Jones,emma.j@email.com,678-901-2345,678 Pine St,10007,Female,1982-06-08,Paracetamol,1,3.0
47,Robert,Williams,robert.w@email.com,789-123-4560,789 Oak St,10003,Male,1985-11-10,Lipitor,2,15.0
48,Sophia,Brown,sophia.b@email.com,567-890-1234,567 Cedar St,10006,Female,1986-02-20,Losartan,3,10.0
49,Oliver,Miller,oliver.m@email.com,345-678-9012,345 Birch St,10005,Male,1999-10-05,Hydrochlorothiazide,1,7.0
50,Matthew,Williams,matthew.w@email.com,789-123-4560,789 Oak St,10003,Male,1986-12-01,Simvastatin,2,9.0
